question,answer
मल भनेको के हो?,"मल भनेको बिरुवालाई आवश्यक पोषक तत्व (नाइट्रोजन, फस्फोरस, पोटास आदि) उपलब्ध गराउने पदार्थ हो। यसले बालीलाई स्वस्थ बनाउँछ, रोग प्रतिरोधी क्षमता बढाउँछ र उत्पादनमा उल्लेख्य वृद्धि गर्छ।"
गोलभेँडामा कुन मल हाल्ने?,"गोलभेँडालाई राम्रोसँग पाकेको गोठेमल वा कम्पोस्ट (२–३ केजी प्रति बोट) अनिवार्य हुन्छ। रोप्ने बेला डीएपी र पोटास दिनुहोस्, र बिरुवा बढेपछि युरिया तथा फल लाग्ने बेला पोटास र बोरोन मल थप्नुहोस्।"
गोलभेँडाका लागि कुन मल राम्रो हुन्छ?,"गोलभेँडालाई राम्रोसँग पाकेको गोठेमल वा कम्पोस्ट (२–३ केजी प्रति बोट) अनिवार्य हुन्छ। रोप्ने बेला डीएपी र पोटास दिनुहोस्, र बिरुवा बढेपछि युरिया तथा फल लाग्ने बेला पोटास र बोरोन मल थप्नुहोस्।"
गोलभेँडामा फूल र फल लाग्ने बेला कुन मल हाल्ने?,फूल र फल लाग्ने बेला धेरै युरिया नहाल्नुहोस्। फल ठूलो र चम्किलो बनाउन पोटास (Potash) र फूल झर्न नदिन बोरोन (Boron) १ ग्राम प्रति लिटर पानीमा घोलेर पातमा छर्कनुहोस्।
जैविक झोलमोल मल कसरी बनाउने?,"झोलमोल बनाउन गाईभैँसीको गहुँत, गोबर, पानी र तीतो/पीरो वनस्पति (तितेपाती, असुरो, खिर्रो, सिस्नो) ड्रममा २१ दिन कुहाउनुपर्छ। बिरुवामा प्रयोग गर्दा १ भाग झोलमोलमा ४ देखि ६ भाग पानी मिसाएर जरामा वा पातमा छर्कनुहोस्।"
गोलभेँडा कहिले लगाउने?,तराईमा भदौदेखि कात्तिकसम्म (हिउँदे बाली) रोपिन्छ। मध्यपहाडमा खुला ठाउँमा फागुन-चैतमा र प्लास्टिक टनेल भित्र साउन-भदौ तथा बाह्रैमास बेमौसमी गोलभेँडा खेती गर्न सकिन्छ।
गोलभेँडा कुन मौसममा लगाइन्छ?,तराईमा भदौदेखि कात्तिकसम्म (हिउँदे बाली) रोपिन्छ। मध्यपहाडमा खुला ठाउँमा फागुन-चैतमा र प्लास्टिक टनेल भित्र साउन-भदौ तथा बाह्रैमास बेमौसमी गोलभेँडा खेती गर्न सकिन्छ।
गोलभेँडाको पात किन पहेंलो हुन्छ?,"पात पहेंलो हुनुमा नाइट्रोजन मलको कमी, बढी पानी, जरा कुहिनु वा ढुसी रोग मुख्य कारण हुन्। यदि तल्लो पातहरू पूरै पहेंलो भएमा युरिया वा कम्पोस्ट मल दिनुहोस्; माटो धेरै चिसो भए सिँचाइ कम गर्नुहोस् र दाग भए डढुवाको उपचार गर्नुहोस्।"
गोलभेँडामा रोग लागेको कसरी थाहा पाउने?,"पातमा खैरो वा कालो दाग देखिनु, सेतो ढुसी लाग्नु, दिउँसो बोट ओइलाउनु, पात खुम्चिनु, फलमा दाग वा कुहिने लक्षण देखिनु रोगका प्रमुख संकेत हुन्। समयमै पहिचान गरी रोकथाम गर्नुपर्छ।"
अर्ली ब्लाइट भनेको के हो?,"अर्ली ब्लाइट ढुसीबाट लाग्ने रोग हो। यसमा पुराना पातहरूमा गोलाकार चक्राकार खैरो दागहरू देखिन्छन्। संक्रमित पात हटाउनुहोस्, पातमा पानी नपर्ने गरी सिँचाइ गर्नुहोस् र म्यानकोजेब (Mancozeb) २–२.५ ग्राम प्रति लिटर पानीमा मिसाएर छर्कनुहोस्।"
गोलभेँडामा अर्ली ब्लाइटको उपचार कसरी गर्ने?,"अर्ली ब्लाइट ढुसीबाट लाग्ने रोग हो। यसमा पुराना पातहरूमा गोलाकार चक्राकार खैरो दागहरू देखिन्छन्। संक्रमित पात हटाउनुहोस्, पातमा पानी नपर्ने गरी सिँचाइ गर्नुहोस् र म्यानकोजेब (Mancozeb) २–२.५ ग्राम प्रति लिटर पानीमा मिसाएर छर्कनुहोस्।"
पछौटे डढुवा भनेको के हो?,"पछौटे डढुवा चिसो र ओसिलो मौसममा लाग्ने खतरनाक रोग हो। यसमा पात, डाँठ र फलमा पानीले भिजेको जस्तो गाढा कालो दाग देखिन्छ। बढी संक्रमित बिरुवा उखेलेर नष्ट गर्नुहोस् र मेटाल्याक्सिल + म्यानकोजेब (कृल्याक्सिल/रिडोमिल) २ ग्राम प्रति लिटर वा कपर अक्सिक्लोराइड छर्कनुहोस्।"
गोलभेँडामा पछौटे डढुवा कसरी नियन्त्रण गर्ने?,"पछौटे डढुवा चिसो र ओसिलो मौसममा लाग्ने खतरनाक रोग हो। यसमा पात, डाँठ र फलमा पानीले भिजेको जस्तो गाढा कालो दाग देखिन्छ। बढी संक्रमित बिरुवा उखेलेर नष्ट गर्नुहोस् र मेटाल्याक्सिल + म्यानकोजेब (कृल्याक्सिल/रिडोमिल) २ ग्राम प्रति लिटर वा कपर अक्सिक्लोराइड छर्कनुहोस्।"
गोलभेँडामा पात खन्ने कीरा कसरी नियन्त्रण गर्ने?,"पात खन्ने कीराले पातभित्र सुरुङ बनाएर सेतो नागबेली धर्काहरू बनाउँछ। पहेंलो टाँसिने ट्रयाप प्रयोग गर्नुहोस्, कीरा लागेका पात टिपेर नष्ट गर्नुहोस् र निमको तेल (३-५ मि.लि. प्रति लिटर) वा एबामेक्टिन (१ मि.लि. प्रति लिटर) पानीमा मिसाएर छर्कनुहोस्।"
गोलभेँडाको फलको फेद कालो भएर कुहिने समस्या कसरी समाधान गर्ने?,फलको फेद कालो भएर कुहिने समस्या क्याल्सियमको कमी र अनियमित सिँचाइले हुन्छ। माटोमा सधैं समान चिस्यान राख्न छापो (mulch) प्रयोग गर्नुहोस् र क्याल्सियम नाइट्रेट (२ ग्राम प्रति लिटर) पानीमा घोलेर पातमा छर्कनुहोस्।
गोलभेँडाको फलमा प्वाल पार्ने कीरा कसरी नियन्त्रण गर्ने?,"फलमा प्वाल पार्ने कीराले फलभित्र पसेर गुदी खान्छ र फल कुहाउँछ। फेरोमोन ट्रयाप (हेलिल्यूर) राख्नुहोस्, निमजन्य विषादी वा जैविक बीटी (Bt) प्रयोग गर्नुहोस्, र धेरै प्रकोप भएमा इमामेक्टिन बेन्जोएट (०.५ ग्राम प्रति लिटर) छर्कनुहोस्।"
गोलभेँडामा सेतो झिँगा कसरी नियन्त्रण गर्ने?,"सेतो झिँगाले पातको रस चुस्छ र पात खुम्चिने भाइरस सार्छ। टनेलमा जाली र पहेंलो टाँसिने ट्रयाप लगाउनुहोस्, र कीरा नियन्त्रण गर्न इमिडाक्लोप्रिड (Imidacloprid) ०.५ मि.लि. प्रति लिटर पानीमा मिसाएर छर्कनुहोस्।"
गोलभेँडामा लाही कीराको नियन्त्रण कसरी गर्ने?,"लाही कीराले मुन्टो र पातको रस चुसेर बिरुवा कमजोर बनाउँछ र मह जस्तो टाँसिने पदार्थ निकाल्छ। साबुनपानी, निमको तेल (५ मि.लि. प्रति लिटर) वा बढी प्रकोप भएमा रोगर/डाइमेथोएट १.५ मि.लि. प्रति लिटर पानीमा छर्कनुहोस्।"
गोलभेँडामा रातो सुलसुलेको उपचार के हो?,रातो सुलसुलेले पातको पछाडि जालो बनाएर रस चुस्छ र पातमा साना पहेंला थोप्ला बनाउँछ। सल्फर (Sulphur) २ ग्राम प्रति लिटर पानीमा घोलेर पातको मुनि पर्ने गरी छर्कनुहोस् वा उपयुक्त सुलसुलेनाशक प्रयोग गर्नुहोस्।
गोलभेँडा ओइलाउने रोग कसरी व्यवस्थापन गर्ने?,"ब्याक्टेरियल विल्टमा पात पहेंलो नभई दिउँसो बिरुवा अचानक ओइलाउँछ र डाँठबाट सेतो पीप जस्तो तरल पदार्थ निस्कन्छ। रोगी बिरुवा उखेलेर खाडलमा पुर्नुहोस्, अग्लो ड्याङ बनाएर पानीको निकास मिलाउनुहोस् र बाली चक्र अपनाउनुहोस्।"
नर्सरीमा बेर्ना कुहिने रोगबाट कसरी बचाउने?,"ड्याम्पिङ अफ ढुसीका कारण बेर्नाको जमिनको सतहको भाग कुहिएर ढल्छ। बीउलाई ट्राइकोडर्मा वा थिरामले उपचार गरेर मात्र रोप्नुहोस्, नर्सरीमा पानी नजम्ने बनाउनुहोस् र घाममा माटो तताएर मात्र प्रयोग गर्नुहोस्।"
गोलभेँडामा कति दिनको फरकमा सिँचाइ गर्ने?,"गोलभेँडालाई हप्ताको २ देखि ३ पटक गहिरो गरी सिँचाइ गर्नुपर्छ। फल लागिरहेको बेला माटो सुक्न नदिनुहोस्, नत्र फल चर्किन्छ। बिहानको समयमा जरामा मात्र पानी हाल्नुहोस्, पातमा पानी नपार्नुहोस्।"
गोलभेँडालाई कति पानी चाहिन्छ?,"गोलभेँडालाई हप्ताको २ देखि ३ पटक गहिरो गरी सिँचाइ गर्नुपर्छ। फल लागिरहेको बेला माटो सुक्न नदिनुहोस्, नत्र फल चर्किन्छ। बिहानको समयमा जरामा मात्र पानी हाल्नुहोस्, पातमा पानी नपार्नुहोस्।"
गोलभेँडा खेतीमा थोपा सिँचाइका के फाइदा छन्?,"थोपा सिँचाइले पानी र घुलनशील मल सिधै जरामा पुर्याउँछ। यसले ४०-६०% पानी बचत गर्छ, झारपात कम उमार्छ, पात सुक्खा राखेर डढुवा रोग लाग्न दिँदैन र उत्पादन २०-३०% ले बढाउँछ।"
गोलभेँडाको स्वस्थ बेर्ना नर्सरीमा कसरी तयार गर्ने?,"उठेको ड्याङ वा प्लास्टिक ट्रेमा माटो, कम्पोस्ट र कोकोपिटको मिश्रण बनाई बीउ रोप्नुहोस्। झरीबाट बचाउन प्लास्टिक ओढाउनुहोस्। बेर्ना ४-५ वटा पात भएको र २५ देखि ३० दिनको भएपछि खेतमा सार्नुहोस्।"
गोलभेँडा रोप्दा बिरुवा र लाइन बीचको दूरी कति राख्ने?,होचो (झाडी) जातका लागि बोटदेखि बोट ४५-५० से.मी. र लाइनदेखि लाइन ६० से.मी. दूरी राख्नुहोस्। टनेलमा अग्लो जातका लागि बोटबीच ५०-६० से.मी. र लाइनबीच ७५-९० से.मी. दूरी राख्नुपर्छ।
गोलभेँडाको अनावश्यक हाँगा किन र कसरी काँटछाँट गर्ने?,"पात र मुख्य डाँठको कापबाट आउने अनावश्यक साना हाँगाहरू (suckers) लाई हातले चुँडेर हटाउनुहोस्। काँटछाँट गर्नाले बिरुवामा हावा खेल्छ, रोग कम लाग्छ र फल ठूलो तथा गुणस्तरीय फल्छ।"
गोलभेँडामा बाँसको भाटा वा डोरीले सहारा दिनु किन जरूरी छ?,"बाँसको भाटा वा डोरीले बिरुवालाई बाँधेर सहारा दिँदा फल र पात माटोमा छुँदैन। यसले माटोबाट सर्ने ढुसी रोग रोक्छ, घाम-हावा राम्रोसँग पाउँछ र गोडमेल तथा फल टिप्न सजिलो हुन्छ।"
गोलभेँडामा फूल किन झर्छ?,"अत्यधिक चिसो वा गर्मी (३२°C भन्दा बढी), पानीको कमी, परागसेचन नहुनु वा बोरोनको कमीले फूल झर्छ। बिहान बिरुवा हल्का हल्लाइदिनुहोस्, नियमित पानी दिनुहोस् र बोरोन (Boron) वा प्लानोफिक्स छर्कनुहोस्।"
गोलभेँडाको फल किन फुट्छ वा चर्किन्छ?,लामो खडेरीपछि अचानक धेरै पानी पर्दा वा सिँचाइ गर्दा फलको बाहिरी बोक्रा फुट्छ। माटोमा छापो (मल्चिङ) हालेर समान चिस्यान कायम राख्नुहोस् र फल पूर्ण रातो हुनुभन्दा अघि (पहेंलो-रातो हुँदै) टिप्नुहोस्।
हिउँदमा गोलभेँडालाई तुषारो र चिसोबाट कसरी जोगाउने?,"हिउँदमा तुषारो र चिसोबाट बचाउन प्लास्टिक टनेल बनाउनुहोस्, चिसो रातमा पराल वा एग्रो-नेटले छोप्नुहोस् र साँझपख हल्का सिँचाइ गर्नाले जमिनको तापक्रम कायम रहन मद्दत गर्छ।"
विषादी छरेपछि बाली टिप्न कति दिन कुर्नुपर्छ?,"विषादी छरेपछि बाली टिप्न कुर्नुपर्ने सुरक्षित समय (PHI): निमको तेल १-२ दिन, म्यानकोजेब जस्ता विषादी ७ देखि १० दिन, र कडा प्रणालीगत विषादीमा १४ देखि २१ दिन पर्खनुपर्छ। खानुअघि फल राम्रोसँग पखाल्नुहोस्।"
गोलभेँडामा खराने रोगको उपचार कसरी गर्ने?,खराने रोग लाग्दा पातको सतहमा सेतो धुलो छरेको जस्तो देखिन्छ र पात सुकेर झर्छ। यसको रोकथामका लागि घुलनशील सल्फर (२ ग्राम प्रति लिटर) वा हेक्साकोनाजोल (१ मि.लि. प्रति लिटर पानी) छर्कनुहोस्।
गोलभेँडामा सेप्टोरिया पातको थोप्ले रोग कसरी रोक्ने?,"सेप्टोरिया पातको थोप्ले रोगमा तल्लो पातहरूमा गाढा खैरो किनारा र बीचमा खरानी रङ भएका धेरै साना थोप्लाहरू देखिन्छन्। रोगी पातहरू हटाउनुहोस्, भुइँमा छापो हाल्नुहोस् र कपर अक्सिक्लोराइड २ ग्राम प्रति लिटर पानीमा छर्कनुहोस्।"
गोलभेँडा खेतीका लागि माटोको तयारी र उपयुक्त पीएच कति हुनुपर्छ?,"गोलभेँडाका लागि ६.० देखि ६.८ पीएच भएको, प्रशस्त प्राङ्गारिक मल भएको दोमट माटो सबैभन्दा राम्रो हुन्छ। माटो धेरै अमिलो भएमा रोप्नुभन्दा ३ हप्ता अघि प्रति रोपनी २५-३० केजी कृषि चुन मिसाउनुहोस्।"
गोलभेँडा खेतमा झारपात कसरी नियन्त्रण गर्ने?,"झारपात नियन्त्रण गर्न कालो-चाँदी रङको प्लास्टिक मल्च सबैभन्दा उत्तम हुन्छ, जसले कीरा पनि भगाउँछ। पराल वा सुकेको पातको छापो हाल्न सकिन्छ। हातले गोडमेल गर्दा बिरुवाको जरा नकाटिने गरी हल्कासँग गर्नुहोस्।"
गोलभेँडा टिप्ने सही समय कहिले हो?,नजिकैको बजार वा आफ्नै उपभोगका लागि फल रातो र छिप्पिएपछि टिप्नुहोस्। टाढा ढुवानी गर्नुपर्ने भएमा फलको फेद हल्का गुलाबी वा पहेंलो हुन थालेको अवस्था (Breaker stage) मा टिप्नुपर्छ।
प्लास्टिक टनेल भित्र बेमौसमी गोलभेँडा खेती कसरी गर्ने?,"प्लास्टिक टनेलले बर्खाको झरी, अत्यधिक चिसो र कीराबाट बचाउँछ। अग्लो हुने हाइब्रिड जात छान्नुहोस्, १.५–२ मिटर उचाइको टनेल बनाउनुहोस्, नियमित काँटछाँट गर्नुहोस् र घाम लाग्दा हावा आवतजावत गराउनुहोस्।"
गोलभेँडाको फल घामले डढ्ने समस्या किन हुन्छ?,"अत्यधिक चर्को घाम सिधै काँचो वा पाक्दै गरेको फलमा पर्दा फलमा सेतो वा हल्का खैरो छाला जस्तो दाग बन्छ। बिरुवामा पर्याप्त पातहरू रहन दिनुहोस्, धेरै काँटछाँट नगर्नुहोस् र चर्को गर्मीमा ३०% को छहारी जाली प्रयोग गर्नुहोस्।"
टिपेको गोलभेँडा धेरै दिनसम्म ताजा राख्न कसरी भण्डारण गर्ने?,"छिप्पिएका काँचा वा हल्का पाकेका फललाई १२ देखि १५ डिग्री सेल्सियसको हावा खेल्ने ठाउँमा राख्नुहोस्। नपाकेको फललाई सिधै चिसो फ्रिजमा नराख्नुहोस्, यसले स्वाद र गुणस्तर बिगार्छ। पाकेको फललाई शीतल ठाउँमा क्रेटमा फिँजाएर राख्नुहोस्।"
बोर्डो मिश्रण ढुसीनाशक कसरी बनाउने?,बोर्डो मिश्रण बनाउन १०० ग्राम नीलोथुथो (Copper Sulfate) र १०० ग्राम नभिजेको चुनालाई १० लिटर पानीमा प्लास्टिकको भाँडोमा घोल्नुपर्छ (१:१:१०० अनुपात)। फलामको काँटी डुबाएर तामाको लेप नबस्ने गरी परीक्षण गर्नुहोस् र ताजा मिश्रण डढुवा तथा ढुसी रोगमा छर्कनुहोस्।
ट्राइकोडर्मा जैविक ढुसीनाशक कसरी प्रयोग गर्ने?,"ट्राइकोडर्मा माटोमा बस्ने हानिकारक ढुसी खाने मित्रवत ढुसी हो। १ केजी ट्राइकोडर्मालाई १०० केजी राम्रोसँग पाकेको कम्पोस्ट वा गोबर मलमा मिसाएर छाँयामा ७ दिन चिसो बनाएर राख्नुहोस्, र बेर्ना सार्ने खाडल वा नर्सरीमा प्रयोग गर्नुहोस्।"
स्थानीय जडीबुटीबाट वानस्पतिक जैविक विषादी कसरी बनाउने?,"तितेपाती, असुरो, बकाइनो, निमको पात, खुर्सानी र लसुनलाई पिसेर पानी वा गाईको गहुँतमा १०-१५ दिन कुहाउनुहोस्। कपडाले छानेर १ भाग झोलमा ५ भाग पानी मिसाउनुहोस् र थोरै साबुनको फिँज हालेर रस चुस्ने कीराहरूमा छर्कनुहोस्।"
नेपालमा माटो परीक्षण कसरी गर्ने?,"आफ्नो खेतको १०-१५ ठाउँबाट 'V' आकारमा १५ से.मी. गहिराइसम्मको माटो खनेर संकलन गर्नुहोस्। राम्रोसँग मिसाएर छाँयामा सुकाउनुहोस् र ५०० ग्राम माटो स्थानीय कृषि ज्ञान केन्द्र, पालिकाको कृषि शाखा वा क्षेत्रीय माटो प्रयोगशालामा पठाउनुहोस्।"
गँड्यौला मल (भर्मीकम्पोस्ट) कसरी बनाउने?,"छाया भएको ठाउँमा १ मिटर गहिरो इँटाको ट्याङ्की बनाई घाँसपात र आधा कुहिएको गोबर मलको तह बनाउनुहोस्। त्यसमा 'आइसिनिया फेटिडा' रातो गँड्यौला छाड्नुहोस्। ६०-७०% चिस्यान राख्नुहोस्, र ४५-६० दिनपछि दानेदार कालो मल तयार हुन्छ।"
