question,answer
What is fertilizer?,"Fertilizer is a substance added to the soil or plants to provide essential nutrients such as nitrogen, phosphorus, and potassium (NPK). It helps crops grow healthier, stronger, and produce higher yields."
Which fertilizer is best for tomato plants?,"Tomatoes need balanced NPK along with organic compost. Apply well-decomposed farmyard manure (2–3 kg/plant) and DAP before planting, followed by split applications of Urea for vegetative growth and Potash for fruit development."
What fertilizer should I use for tomatoes?,"Tomatoes need balanced NPK along with organic compost. Apply well-decomposed farmyard manure (2–3 kg/plant) and DAP before planting, followed by split applications of Urea for vegetative growth and Potash for fruit development."
What fertilizer should I use during flowering and fruiting?,"During flowering and fruit set, avoid excess nitrogen which causes all foliage and no fruit. Supply Potassium (MOP or Sulfate of Potash), Phosphorus, and a foliar spray of Boron (1 g/L) to prevent flower drop and ensure big, firm fruits."
How to make organic Jholmol fertilizer?,"Jholmol is made by fermenting cow dung, cow urine, water, and local medicinal plants (Titepati, Asuro, Neem, Khirro) in a covered drum for 21 days. Dilute 1:4 with water for root drenching or 1:8 for foliar spray against pests and for plant vigor."
When is the best time to grow tomatoes?,"In the Terai and inner valleys, plant from September to November (winter crop). In the mid-hills (Kathmandu, Pokhara), plant in spring (Feb–April) for open fields, or year-round (August–October for off-season) under plastic tunnels."
Which season is suitable for tomatoes?,"In the Terai and inner valleys, plant from September to November (winter crop). In the mid-hills (Kathmandu, Pokhara), plant in spring (Feb–April) for open fields, or year-round (August–October for off-season) under plastic tunnels."
Why are my tomato leaves turning yellow?,"Yellow leaves can result from nitrogen deficiency, overwatering, root rot, or fungal blight. If lower leaves turn uniformly yellow, add compost or nitrogen; if soil is waterlogged, reduce watering; if brown spots appear, check for blight."
How do I know if my tomato plant has a disease?,"Common signs include yellowing or spotted leaves, water-soaked dark lesions, white mold, sudden daytime wilting, stunted growth, and rotting or cracked fruits. Early diagnosis prevents spread."
What is Early Blight?,"Early Blight is a fungal disease (Alternaria solani) causing brown leaf spots with concentric target-like rings. Remove infected lower leaves, avoid overhead watering, and spray Mancozeb 75% WP (2–2.5 g/L water) or Chlorothalonil."
How do I treat Early Blight in tomatoes?,"Early Blight is a fungal disease (Alternaria solani) causing brown leaf spots with concentric target-like rings. Remove infected lower leaves, avoid overhead watering, and spray Mancozeb 75% WP (2–2.5 g/L water) or Chlorothalonil."
What is Late Blight?,"Late Blight is a serious water-mold disease (Phytophthora infestans) causing dark, water-soaked lesions and white fungal fuzz during cool, humid weather. Promptly remove severely infected plants and spray systemic fungicides like Metalaxyl + Mancozeb (Krilaxyl/Ridomil @ 2 g/L) or Copper Oxychloride."
How to control Late Blight in tomatoes?,"Late Blight is a serious water-mold disease (Phytophthora infestans) causing dark, water-soaked lesions and white fungal fuzz during cool, humid weather. Promptly remove severely infected plants and spray systemic fungicides like Metalaxyl + Mancozeb (Krilaxyl/Ridomil @ 2 g/L) or Copper Oxychloride."
How to control Leaf Miner infestation in tomato?,"Leaf miners are fly larvae that tunnel inside leaves leaving winding white serpentine trails. Use yellow sticky traps, remove heavily infested leaves, and spray Neem oil (3–5 ml/L) or Abamectin (1 ml/L) during early morning or late afternoon."
How to cure Blossom End Rot in tomatoes?,"Blossom End Rot causes a flat, leathery black patch at the bottom of tomato fruits due to calcium deficiency and irregular watering. Keep soil moisture consistently even with mulching and apply agricultural lime or foliar Calcium Nitrate (2 g/L)."
How to control Tomato Fruit Borer?,"Fruit borer larvae bore into tomato fruits causing rotting and premature fruit drop. Install pheromone traps (Helilure @ 4–5 traps/ropani), spray Bacillus thuringiensis (Bt) or Neem extract, and for severe attacks spray Emamectin Benzoate (0.5 g/L)."
How to control Whiteflies on tomato?,"Whiteflies suck plant sap and transmit Tomato Leaf Curl Virus causing stunted plants and upward curled wrinkled leaves. Use yellow sticky traps, net screens in tunnels, and spray Imidacloprid (0.5 ml/L) or Acetamiprid to control whiteflies."
How to control aphids on tomato?,"Aphids are small sap-sucking green or black insects clustering under young leaves and excreting sticky honeydew. Spray soapy water, Neem oil (5 ml/L), or systemic insecticide like Dimethoate (Rogor) or Imidacloprid if infestation is high."
How to control Red Spider Mites on tomato?,"Red spider mites cause fine yellow stippling on leaves and webbing underneath in dry, warm conditions. Spray wettable sulfur (2 g/L) or specialized miticides like Fenazaquin, and maintain adequate soil moisture and humidity."
What causes Bacterial Wilt in tomatoes?,"Bacterial Wilt (Ralstonia solanacearum) causes sudden daytime wilting and death of green tomato plants without yellowing. Rotate crops with non-solanaceous plants (corn, paddy), ensure raised bed drainage, and remove infected plants immediately."
How to prevent Damping-off in nursery seedlings?,"Damping-off causes nursery seedlings to rot at the soil line and collapse due to fungal pathogens. Treat seeds with Trichoderma (5 g/kg) or Captan/Thiram, avoid excessive moisture, solarize nursery soil, and raise beds."
How often should I water tomato plants?,"Water tomato plants deeply 2 to 3 times per week depending on soil type and heat. During fruiting, provide consistent moisture to avoid fruit cracking. Water the base of the plant in the early morning and avoid wetting foliage."
How much water do tomatoes need?,"Water tomato plants deeply 2 to 3 times per week depending on soil type and heat. During fruiting, provide consistent moisture to avoid fruit cracking. Water the base of the plant in the early morning and avoid wetting foliage."
What are the advantages of drip irrigation for tomatoes?,"Drip irrigation delivers water and soluble fertilizer directly to plant roots, saving 40–60% water, reducing weed growth, keeping foliage dry to prevent fungal blights, and increasing fruit yield by 20–30%."
How to raise healthy tomato seedlings in a nursery?,"Sow seeds in raised nursery beds or plastic seedling trays using a mix of soil, compost, and cocopeat. Maintain warm temperatures, protect from rain with plastic cover, and transplant healthy seedlings when they have 4–5 true leaves (25–30 days old)."
What is the correct spacing for planting tomatoes?,"For determinate (bush) varieties, space plants 45–50 cm apart in rows 60 cm apart. For indeterminate (climbing/trellised) varieties inside tunnels, keep 50–60 cm between plants and 75–90 cm between rows for proper airflow."
How and why should I prune tomato suckers?,"Pinch off 'suckers' (side shoots growing in the leaf axils) when they are 2–4 inches long, leaving 1 or 2 main stems. Pruning improves air circulation, prevents fungal diseases, and directs energy into producing larger fruits."
Why is staking and trellising important for tomatoes?,"Staking with bamboo poles or tying vines to overhead wires with twine keeps foliage and fruits off the moist ground. It prevents soil-borne fungal rots, eases spraying and harvesting, and maximizes sunlight penetration."
Why do tomato flowers drop?,"Flower drop is caused by extreme temperatures (below 10°C or above 32°C), lack of pollination, dry soil, or boron deficiency. Shake plants gently to pollinate, ensure consistent watering, and spray Planofix (alpha NAA) or Boron."
Why do tomatoes crack or split?,"Fruit cracking occurs when heavy rain or sudden watering follows a dry spell, causing the inside pulp to expand faster than the skin. Prevent cracking with organic mulching, steady drip irrigation, and picking fruits at the breaker stage."
How to protect tomatoes from frost and cold in winter?,"Protect winter tomatoes from frost by growing inside UV-stabilized plastic tunnels, covering beds with agro-netting on freezing nights, giving light evening irrigation, and spraying anti-stress potassium silicate."
How long should I wait after spraying pesticides before harvest?,The Pre-Harvest Interval (PHI) depends on the pesticide: biologicals and Neem oil need 1–2 days; contact fungicides like Mancozeb need 7–10 days; systemic pesticides need 14–21 days. Always wash harvested fruits thoroughly.
What is Powdery Mildew and how to treat it?,"Powdery Mildew appears as a white talcum-powder-like dusting on tomato leaves causing yellowing and drying. Treat by spraying Wettable Sulfur (2 g/L), baking soda solution with a drop of liquid soap, or Hexaconazole."
What is Septoria Leaf Spot and how to control it?,"Septoria Leaf Spot causes numerous small, circular spots with dark brown margins and gray centers on lower foliage. Prune affected bottom leaves, maintain ground mulch, and spray Copper Oxychloride or Mancozeb."
What is the ideal soil and pH for tomato farming?,"Tomatoes thrive in deep, well-drained sandy loam soil rich in organic matter with a pH between 6.0 and 6.8. If soil is too acidic (pH < 5.5), apply agricultural lime (Chun) 2 to 3 weeks before planting."
How to manage weeds in tomato fields?,"Manage weeds using silver-black plastic mulch which also warms soil and repels pests, or straw mulch. Perform shallow hoeing 2–3 weeks after transplanting to avoid damaging root systems."
When is the right time to harvest tomatoes?,"For local consumption, pick tomatoes when they are firm and mature pink to red. For long-distance transport, harvest at the 'breaker stage' when the blossom end just starts turning from green to pink or light yellow."
